"","airline_name","type_traveller","cabin_flown","overall_rating","seat_comfort_rating","cabin_staff_rating","food_beverages_rating","inflight_entertainment_rating","ground_service_rating","wifi_connectivity_rating","value_money_rating","recommended"
"5510","air-new-zealand",NA,"Premium Economy",10,5,5,5,5,NA,NA,5,1
"5511","air-new-zealand",NA,"Economy",9,4,4,4,4,NA,NA,4,1
"5512","air-blue",NA,"Economy",4,1,4,4,1,NA,NA,3,0
"5513","air-blue",NA,"Economy",6,4,3,3,0,NA,NA,4,1
"5514","air-blue",NA,"Economy",3,NA,NA,NA,NA,NA,NA,1,0
"5515","air-blue",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0
"5516","airasia-x",NA,"Economy",10,4,4,4,0,NA,NA,5,1
"5517","airasia-x",NA,"Economy",10,4,5,4,0,NA,NA,5,1
"5518","airasia-x",NA,"Premium Economy",NA,0,1,0,0,NA,NA,1,0
"5519","airasia-x",NA,"Economy",10,4,5,4,3,NA,NA,5,1
"5520","airasia",NA,"Economy",7,4,5,3,1,NA,NA,5,1
"5521","airasia",NA,"Economy",4,3,0,0,0,NA,NA,4,0
"5522","airasia",NA,"Economy",1,1,1,1,1,NA,NA,1,0
"5523","airasia",NA,"Economy",1,1,1,1,1,NA,NA,1,0
"5524","airbaltic",NA,"Economy",2,3,3,2,1,NA,NA,3,0
"5525","airbaltic",NA,"Economy",4,3,4,3,3,NA,NA,3,1
"5526","airbaltic",NA,"Economy",7,4,5,3,3,NA,NA,4,1
"5527","air-transat",NA,"Economy",2,1,3,1,1,NA,NA,2,0
"5528","air-transat",NA,"Economy",NA,1,1,1,1,NA,NA,1,0
"5529","air-new-zealand",NA,"Business Class",7,5,4,5,3,NA,NA,3,1
"5530","air-new-zealand",NA,"Business Class",4,1,3,3,1,NA,NA,2,0
"5531","air-new-zealand",NA,"Business Class",8,4,5,5,4,NA,NA,5,1
"5532","aircalin","Solo Leisure","Business Class",9,4,5,4,3,4,NA,5,1
"5533","aircalin","Solo Leisure","Economy",8,4,4,4,4,5,5,4,1
"5534","air-blue",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,0
"5535","air-blue",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,0
"5536","air-blue",NA,NA,4,NA,NA,NA,NA,NA,NA,NA,0
"5537","air-blue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"5538","airasia-x",NA,"Economy",1,1,1,3,1,NA,NA,1,0
"5539","airasia-x",NA,"Economy",6,3,5,4,1,NA,NA,3,0
"5540","airasia-x",NA,"Premium Economy",9,5,4,4,2,NA,NA,4,1
"5541","airasia",NA,NA,1,1,1,1,1,NA,NA,1,0
"5542","airasia",NA,"Economy",1,1,1,1,1,NA,NA,1,0
"5543","airasia",NA,"Economy",6,2,3,1,1,NA,NA,3,1
"5544","airbaltic",NA,"Economy",7,4,4,2,0,NA,NA,3,1
"5545","airbaltic",NA,"Economy",9,4,4,0,0,NA,NA,4,1
"5546","air-transat",NA,"Economy",2,0,3,1,1,NA,NA,3,0
"5547","air-transat",NA,"Economy",3,3,4,4,1,NA,NA,3,0
"5548","air-transat",NA,"Economy",NA,1,4,3,1,NA,NA,1,0
"5549","air-new-zealand",NA,"Premium Economy",8,2,4,5,5,NA,NA,5,1
"5550","air-new-zealand",NA,"Premium Economy",9,5,5,5,5,NA,NA,5,1
"5551","air-new-zealand",NA,"Economy",2,1,3,2,2,NA,NA,2,0
"5552","aircalin",NA,"Economy",8,0,0,0,0,NA,NA,0,1
"5553","aircalin",NA,"Economy",9,0,0,0,0,NA,NA,0,1
"5554","aircalin",NA,"Economy",10,5,5,5,5,NA,NA,5,1
"5555","air-blue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"5556","air-blue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"5557","air-blue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"5558","airasia-x",NA,"Economy",3,1,3,2,0,NA,NA,4,0
"5559","airasia-x",NA,"Economy",8,3,4,5,3,NA,NA,5,1
"5560","airasia-x",NA,"Economy",10,4,4,0,0,NA,NA,5,1
"5561","airasia",NA,"Economy",5,4,2,1,1,NA,NA,1,0
"5562","airasia",NA,NA,1,1,1,1,1,NA,NA,1,0
